Datetime,PJME_MW
2011-03-01 00:00:00,27845.0
2011-03-01 01:00:00,26516.0
2011-03-01 02:00:00,25968.0
2011-03-01 03:00:00,25927.0
2011-03-01 04:00:00,26225.0
2011-03-01 05:00:00,27350.0
2011-03-01 06:00:00,30014.0
2011-03-01 07:00:00,33878.0
2011-03-01 08:00:00,35423.0
2011-03-01 09:00:00,35133.0
2011-03-01 10:00:00,34451.0
2011-03-01 11:00:00,34069.0
2011-03-01 12:00:00,33559.0
2011-03-01 13:00:00,32854.0
2011-03-01 14:00:00,32310.0
2011-03-01 15:00:00,31693.0
2011-03-01 16:00:00,31366.0
2011-03-01 17:00:00,31722.0
2011-03-01 18:00:00,33108.0
2011-03-01 19:00:00,35781.0
2011-03-01 20:00:00,36200.0
2011-03-01 21:00:00,35755.0
2011-03-01 22:00:00,34478.0
2011-03-01 23:00:00,32234.0
2011-03-02 00:00:00,30001.0
2011-03-02 01:00:00,28533.0
2011-03-02 02:00:00,27788.0
2011-03-02 03:00:00,27598.0
2011-03-02 04:00:00,27687.0
2011-03-02 05:00:00,28567.0
2011-03-02 06:00:00,31010.0
2011-03-02 07:00:00,34521.0
2011-03-02 08:00:00,35612.0
2011-03-02 09:00:00,34911.0
2011-03-02 10:00:00,34161.0
2011-03-02 11:00:00,33528.0
2011-03-02 12:00:00,32973.0
2011-03-02 13:00:00,32355.0
2011-03-02 14:00:00,31995.0
2011-03-02 15:00:00,31611.0
2011-03-02 16:00:00,31442.0
2011-03-02 17:00:00,31886.0
2011-03-02 18:00:00,33200.0
2011-03-02 19:00:00,35802.0
2011-03-02 20:00:00,36266.0
2011-03-02 21:00:00,35915.0
2011-03-02 22:00:00,34620.0
2011-03-02 23:00:00,32637.0
2011-03-03 00:00:00,30632.0
2011-03-03 01:00:00,29392.0
2011-03-03 02:00:00,28921.0
2011-03-03 03:00:00,28947.0
2011-03-03 04:00:00,29341.0
2011-03-03 05:00:00,30414.0
2011-03-03 06:00:00,33114.0
2011-03-03 07:00:00,37031.0
2011-03-03 08:00:00,38408.0
2011-03-03 09:00:00,37897.0
2011-03-03 10:00:00,37253.0
2011-03-03 11:00:00,36940.0
2011-03-03 12:00:00,36116.0
2011-03-03 13:00:00,35373.0
2011-03-03 14:00:00,34650.0
2011-03-03 15:00:00,33976.0
2011-03-03 16:00:00,33495.0
2011-03-03 17:00:00,34165.0
2011-03-03 18:00:00,35871.0
2011-03-03 19:00:00,38574.0
2011-03-03 20:00:00,38761.0
2011-03-03 21:00:00,38212.0
2011-03-03 22:00:00,36631.0
2011-03-03 23:00:00,34262.0
2011-03-04 00:00:00,31982.0
2011-03-04 01:00:00,30369.0
2011-03-04 02:00:00,29559.0
2011-03-04 03:00:00,29238.0
2011-03-04 04:00:00,29321.0
2011-03-04 05:00:00,30114.0
2011-03-04 06:00:00,32479.0
2011-03-04 07:00:00,35994.0
2011-03-04 08:00:00,37226.0
2011-03-04 09:00:00,36552.0
2011-03-04 10:00:00,35707.0
2011-03-04 11:00:00,35099.0
2011-03-04 12:00:00,34284.0
2011-03-04 13:00:00,33499.0
2011-03-04 14:00:00,32900.0
2011-03-04 15:00:00,32248.0
2011-03-04 16:00:00,32069.0
2011-03-04 17:00:00,32550.0
2011-03-04 18:00:00,33845.0
2011-03-04 19:00:00,35633.0
2011-03-04 20:00:00,35274.0
2011-03-04 21:00:00,34513.0
2011-03-04 22:00:00,33153.0
2011-03-04 23:00:00,31204.0
2011-03-05 00:00:00,29113.0
2011-03-05 01:00:00,27237.0
2011-03-05 02:00:00,26245.0
2011-03-05 03:00:00,25636.0
2011-03-05 04:00:00,25306.0
2011-03-05 05:00:00,25403.0
2011-03-05 06:00:00,26098.0
2011-03-05 07:00:00,27195.0
2011-03-05 08:00:00,28286.0
2011-03-05 09:00:00,29685.0
2011-03-05 10:00:00,30402.0
2011-03-05 11:00:00,30416.0
2011-03-05 12:00:00,29875.0
2011-03-05 13:00:00,29256.0
2011-03-05 14:00:00,28503.0
2011-03-05 15:00:00,27949.0
2011-03-05 16:00:00,27704.0
2011-03-05 17:00:00,27987.0
2011-03-05 18:00:00,29018.0
2011-03-05 19:00:00,30815.0
2011-03-05 20:00:00,30563.0
2011-03-05 21:00:00,29848.0
2011-03-05 22:00:00,28788.0
2011-03-05 23:00:00,27288.0
2011-03-06 00:00:00,25587.0
2011-03-06 01:00:00,24027.0
2011-03-06 02:00:00,23024.0
2011-03-06 03:00:00,22418.0
2011-03-06 04:00:00,22126.0
2011-03-06 05:00:00,22123.0
2011-03-06 06:00:00,22585.0
2011-03-06 07:00:00,23350.0
2011-03-06 08:00:00,24313.0
2011-03-06 09:00:00,26063.0
2011-03-06 10:00:00,27450.0
2011-03-06 11:00:00,28307.0
2011-03-06 12:00:00,28727.0
2011-03-06 13:00:00,28811.0
2011-03-06 14:00:00,28735.0
2011-03-06 15:00:00,28748.0
2011-03-06 16:00:00,29008.0
2011-03-06 17:00:00,29905.0
2011-03-06 18:00:00,31411.0
2011-03-06 19:00:00,32667.0
2011-03-06 20:00:00,32638.0
2011-03-06 21:00:00,31934.0
2011-03-06 22:00:00,30728.0
2011-03-06 23:00:00,29008.0
2011-03-07 00:00:00,27159.0
2011-03-07 01:00:00,25959.0
2011-03-07 02:00:00,25465.0
2011-03-07 03:00:00,25492.0
2011-03-07 04:00:00,25973.0
2011-03-07 05:00:00,27085.0
2011-03-07 06:00:00,29662.0
2011-03-07 07:00:00,33332.0
2011-03-07 08:00:00,34895.0
2011-03-07 09:00:00,34821.0
2011-03-07 10:00:00,34522.0
2011-03-07 11:00:00,34365.0
2011-03-07 12:00:00,33888.0
2011-03-07 13:00:00,33341.0
2011-03-07 14:00:00,32778.0
2011-03-07 15:00:00,32275.0
2011-03-07 16:00:00,31981.0
2011-03-07 17:00:00,32249.0
2011-03-07 18:00:00,33541.0
2011-03-07 19:00:00,36227.0
2011-03-07 20:00:00,36662.0
2011-03-07 21:00:00,36091.0
2011-03-07 22:00:00,34464.0
2011-03-07 23:00:00,31946.0
2011-03-08 00:00:00,29744.0
2011-03-08 01:00:00,28198.0
2011-03-08 02:00:00,27567.0
